message_id,timestamp,asset_id,motor_current_peak_amps,motor_current_avg_amps,throw_duration_ms,vibration_peak_g,ambient_temp_c,label_anomaly
609c38a5-b577-40f0-abff-854de1a3d70c,2026-08-04T09:18:22.905810Z,PM-42-EAST,5.45,3.32,3075,0.093,16.5,0
d5090599-57d6-41e3-8386-18e07be1b1ec,2026-08-04T10:00:22.905810Z,PM-42-EAST,5.05,3.36,3184,0.126,39.5,0
d26af542-6ae1-4cda-bd20-fa9618ad629c,2026-08-04T09:36:22.905810Z,PM-42-EAST,5.09,3.49,2802,0.109,22.1,0
ff8138e4-8466-48f5-adee-10d60d8dd300,2026-08-04T11:39:22.905810Z,PM-42-EAST,4.67,3.76,2863,0.085,33.5,0
95b8e8f9-edf7-48a4-b63c-e4f3c6efe185,2026-08-04T12:34:22.905810Z,PM-42-EAST,4.77,3.73,2847,0.098,29.0,0
d1d4d74b-506f-4f1c-9c42-fbf1cbe671ec,2026-08-04T13:18:22.905810Z,PM-42-EAST,5.12,3.04,3004,0.097,26.0,0
2255f1eb-0587-4c6c-97ac-7a25cb400cbd,2026-08-04T12:42:22.905810Z,PM-42-EAST,5.06,3.15,2959,0.099,21.6,0
78bbc897-1bb0-4701-bddf-5dc4728076ca,2026-08-04T15:15:22.905810Z,PM-42-EAST,4.99,3.54,2989,0.067,35.8,0
a237804d-1441-42ba-8c33-c5970869b5fd,2026-08-04T15:58:22.905810Z,PM-42-EAST,7.7,4.85,4250,0.373,20.3,1
10647a8d-ca24-42da-8f7d-e9c5067b352d,2026-08-04T17:15:22.905810Z,PM-42-EAST,5.26,3.53,2829,0.051,23.4,0
3850c86d-4100-4fc0-9e02-7de99c2caef3,2026-08-04T16:28:22.905810Z,PM-42-EAST,4.71,3.55,2896,0.086,29.2,0
10a83fe0-ecae-4a6b-9186-cf9ef25e5ad4,2026-08-04T19:01:22.905810Z,PM-42-EAST,5.21,3.15,3194,0.051,33.9,0
f249e888-0451-46dc-8d53-412b40994bc5,2026-08-04T16:18:22.905810Z,PM-42-EAST,5.0,3.5,2918,0.124,19.0,0
cd64c70c-7543-4f4c-a548-f323237253b7,2026-08-04T12:46:22.905810Z,PM-42-EAST,5.12,3.76,3074,0.054,30.5,0
f652fa10-d8d1-412d-a314-dfa09bc2d247,2026-08-04T14:12:22.905810Z,PM-42-EAST,5.46,3.58,2881,0.117,34.2,0
382d6923-83cc-47c6-bf65-8f270b020713,2026-08-04T21:18:22.905810Z,PM-42-EAST,4.5,3.52,2994,0.109,26.7,0
c65a7949-aefb-4517-9c3b-aa9fd6cd8afc,2026-08-04T11:58:22.905810Z,PM-42-EAST,6.76,4.88,4948,0.48,33.3,1
84514e80-3812-4901-98da-2b4041ebd072,2026-08-04T19:47:22.905810Z,PM-42-EAST,5.31,3.15,2880,0.098,30.0,0
1de9e971-f077-452a-aa55-6407bca52ef0,2026-08-04T21:18:22.905810Z,PM-42-EAST,7.05,5.81,3896,0.405,35.1,1
cba8f020-d2ec-409d-851f-3aff375a3a30,2026-08-04T21:58:22.905810Z,PM-42-EAST,6.84,5.61,3885,0.271,32.4,1
5670f7e1-c31f-4b6e-9892-e36ae85884f0,2026-08-04T15:58:22.905810Z,PM-42-EAST,4.96,3.62,3055,0.092,21.9,0
eea3c84c-aad8-48cd-9665-2fb1b2011ff1,2026-08-05T06:18:22.905810Z,PM-42-EAST,8.12,5.15,4392,0.435,30.7,1
256696b3-fe16-4239-9a7a-1f2481afa70c,2026-08-04T11:52:22.905810Z,PM-42-EAST,4.86,3.59,2908,0.133,26.1,0
632bb9a4-6e83-4cde-b2f6-263626138e13,2026-08-04T19:39:22.905810Z,PM-42-EAST,8.11,4.78,4391,0.366,30.3,1
dd674ac7-3ff1-4dcd-b573-f46cb3739c40,2026-08-04T13:18:22.905810Z,PM-42-EAST,4.62,3.63,2808,0.086,37.0,0
e4b30c67-6448-4ceb-b974-9c1bce3b72b1,2026-08-05T07:23:22.905810Z,PM-42-EAST,4.5,3.13,3137,0.081,39.3,0
226e2e34-22a4-4075-92a0-6e44b2189f91,2026-08-04T15:22:22.905810Z,PM-42-EAST,4.88,3.41,2928,0.13,20.3,0
18951a0d-7086-4a8a-9a10-1bee5e6a304c,2026-08-05T01:30:22.905810Z,PM-42-EAST,4.75,3.69,2920,0.111,39.1,0
078d23f6-f715-4a74-bb03-5d588a12bd8f,2026-08-05T12:22:22.905810Z,PM-42-EAST,5.13,3.17,3091,0.065,29.7,0
1da8cbec-4cac-4c8d-a7ec-bf4c266f3351,2026-08-04T20:54:22.905810Z,PM-42-EAST,5.45,3.55,2971,0.054,25.9,0
ee223888-6c6a-449f-b2ba-9386ca6175fd,2026-08-04T20:48:22.905810Z,PM-42-EAST,5.4,3.48,2838,0.092,18.8,0
8f23f455-24ed-4ae8-9cdd-2c8cec1d2b47,2026-08-05T15:47:22.905810Z,PM-42-EAST,5.4,3.13,2895,0.102,33.4,0
8e5bf4b7-803f-45e8-a186-bd1bbfaa8c91,2026-08-05T09:50:22.905810Z,PM-42-EAST,5.35,3.08,2923,0.077,28.9,0
