message_id,timestamp,asset_id,motor_current_peak_amps,motor_current_avg_amps,throw_duration_ms,vibration_peak_g,ambient_temp_c,label_anomaly
fbb27784-7e95-41b4-ac19-f91ce105bb49,2026-08-06T14:19:39.149647Z,PM-42-EAST,4.64,3.21,2823,0.147,26.7,0
256a8776-9ac9-4af4-8436-21b68fa516a1,2026-08-06T14:33:39.149647Z,PM-42-EAST,4.8,3.75,2912,0.085,37.3,0
a42e6986-7789-440f-a580-ae120f504a53,2026-08-06T14:47:39.149647Z,PM-42-EAST,4.56,3.07,2983,0.148,19.9,0
1a3e0778-68e1-401d-93f3-7697949bf9a7,2026-08-06T15:04:39.149647Z,PM-42-EAST,5.12,3.13,3136,0.127,29.7,0
c86b5573-c95b-439e-a2cd-dfb981aed140,2026-08-06T15:36:39.149647Z,PM-42-EAST,5.16,3.43,3085,0.051,25.5,0
c026b90d-eeba-4761-a5e6-e724a7b1d498,2026-08-06T15:57:39.149647Z,PM-42-EAST,5.01,3.64,2916,0.126,23.4,0
7980b261-0b7c-45fa-a8ac-615c7b4b92a9,2026-08-06T16:52:39.149647Z,PM-42-EAST,4.93,3.08,3190,0.065,34.3,0
6776cf15-d34c-4076-b0c1-dbade3976918,2026-08-06T17:44:39.149647Z,PM-42-EAST,5.1,3.7,2935,0.089,18.7,0
c665ad5e-a6fc-4f9c-aa8d-d86c321ae018,2026-08-06T18:27:39.149647Z,PM-42-EAST,4.71,3.55,3121,0.056,16.0,0
bc4b76c6-a46e-4e37-9d72-6e3bbc9f5898,2026-08-06T18:56:39.149647Z,PM-42-EAST,5.49,3.7,2959,0.077,19.3,0
018dabe8-6741-4183-83bf-0c151bd47f89,2026-08-06T19:34:39.149647Z,PM-42-EAST,5.45,3.51,3032,0.089,18.4,0
e071982c-aa03-4a7e-9005-198cd4cb0935,2026-08-06T19:42:39.149647Z,PM-42-EAST,4.9,3.66,2842,0.076,25.5,0
babae354-8a90-4c02-9e72-62bc5e6269aa,2026-08-06T20:42:39.149647Z,PM-42-EAST,4.72,3.13,3038,0.071,34.8,0
7944c129-97ef-4380-8af4-eafac15336dd,2026-08-06T21:06:39.149647Z,PM-42-EAST,4.86,3.3,3198,0.064,16.1,0
264de9b8-a65d-4a2c-90a1-2ccf5e53ee9b,2026-08-06T21:49:39.149647Z,PM-42-EAST,4.83,3.02,3131,0.12,27.8,0
8d3f3963-28ce-4181-b0e2-e013ed0032fc,2026-08-06T22:00:39.149647Z,PM-42-EAST,5.12,3.01,3043,0.131,33.0,0
